,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.898588604286461,0.8804457953394124,0.9195767195767196,0.8995859213250518,0.9645229349774804
random_forest,0.9895452169367486,0.9863301787592008,0.9925925925925926,0.989451476793249,0.9989275875639513
gradient_boosting,0.9905906952430737,0.9853403141361257,0.9957671957671957,0.9905263157894737,0.9985482530937076
xgboost,0.9900679560899112,0.9853249475890985,0.9947089947089947,0.9899947340705635,0.9988991648082557
lightgbm,0.9884997386304234,0.9842602308499475,0.9925925925925926,0.9884088514225501,0.9988543443088898
svm,0.98170412963931,0.9809725158562368,0.982010582010582,0.9814912744579588,0.9942028510210328
neural_network,0.9843178254051228,0.982086406743941,0.9862433862433863,0.9841605068637803,0.9933425160697887
