kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K00370.02,CONFIRMED,CANDIDATE,0.9890,22.95062278,0.748,4.4814,129.8,2.17,873.0,137.23,32.90,6143.00,4.039,1.7630,11.931,0,0,0,0
K00371.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,498.391282,0.959,6.135,1590,17.14,339.0,3.11,49.70,5134.00,3.611,3.1070,12.193,0,1,0,0
K00372.01,CONFIRMED,CANDIDATE,0.0060,125.6291479,0.471,9.108,7841.6,10.02,388.0,5.35,150.40,5819.00,4.334,1.1110,12.391,0,0,0,0
K03018.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,45.1178526,0.97,3.737,389.2,2.78,517.0,16.87,17.30,5585.00,4.339,1.0380,14.720,0,0,1,0
K03019.01,CONFIRMED,CANDIDATE,0.9630,4.17939037,0.317,2.647,172.8,1.52,1194.0,478.98,16.10,5633.00,4.296,1.1620,14.927,0,0,0,0
K03020.01,CANDIDATE,CANDIDATE,1.0000,10.9192653,0.434,4.572,91.1,1.9,1107.0,355.29,15.00,5745.00,3.939,1.9720,13.534,0,0,0,0
K03021.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.803835923,0.447,1.397,52.6,0.78,2129.0,4863.18,12.40,6242.00,4.442,1.0470,13.700,0,0,1,0
K03022.01,CONFIRMED,CANDIDATE,0.8280,2.76263737,0.46,1.821,185,1.25,1231.0,544.05,14.10,5772.00,4.528,0.9010,15.400,0,0,0,0
K03097.01,CONFIRMED,CANDIDATE,0.9830,11.9216035,0.929,5.009,43.2,0.87,851.0,123.89,15.10,6006.00,4.403,1.0820,11.973,0,0,0,0
K03097.02,CONFIRMED,CANDIDATE,0.9820,6.80257947,0.889,4.608,32.7,0.73,1026.0,262.26,14.70,6006.00,4.403,1.0820,11.973,0,0,0,0
K03097.03,CONFIRMED,CANDIDATE,1.0000,8.70312154,0.886,4.807,32,0.72,945.0,188.70,13.00,6006.00,4.403,1.0820,11.973,0,0,0,0
K03098.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.332557603,1.174,6.043,225.3,19.88,1703.0,1983.27,28.10,6091.00,4.487,0.9670,15.787,0,0,1,1
K00043.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,11.32029599,0.914,4.5866,4303.5,8.02,811.0,102.12,85.00,5780.00,4.438,1.0000,13.290,0,1,1,1
K00285.02,CONFIRMED,CANDIDATE,0.9760,26.723169,0.035,8.501,195,2.31,781.0,88.10,67.50,5862.00,4.050,1.6700,11.565,0,0,0,0
K00312.02,CONFIRMED,CANDIDATE,0.9980,16.39926461,0.115,3.4108,220.8,1.94,847.0,121.53,46.40,6156.00,4.284,1.3030,12.459,0,0,0,0
K00313.01,CONFIRMED,CANDIDATE,1.0000,18.73577127,0.785,3.0356,567.2,2.1,568.0,24.66,81.80,5188.00,4.547,0.7950,12.990,0,0,0,0
K00313.02,CONFIRMED,CANDIDATE,1.0000,8.43639829,0.51,3.2451,345.5,1.5,742.0,71.51,76.80,5188.00,4.547,0.7950,12.990,0,0,0,0
K00314.01,CONFIRMED,CANDIDATE,1.0000,13.78109471,0.545,2.3188,756,1.42,402.0,6.17,112.80,3846.00,4.738,0.5030,12.925,0,0,0,0
K00314.02,CONFIRMED,CANDIDATE,1.0000,23.08902241,0.32,1.7012,598.3,1.24,338.0,3.10,57.40,3846.00,4.738,0.5030,12.925,0,0,0,0
K00046.02,CONFIRMED,CANDIDATE,0.9170,6.02977241,0.379,3.961,54.6,1.18,1204.0,496.46,11.50,5576.00,4.065,1.5930,13.770,0,0,0,0
K00373.01,CONFIRMED,CANDIDATE,1.0000,135.1879934,0.023,8.8191,663.4,2.32,345.0,3.33,85.80,5731.00,4.451,0.9060,12.765,0,0,0,0
K00374.01,CONFIRMED,CANDIDATE,0.9920,172.7046083,0.004,11.347,659.1,2.85,355.0,3.77,92.90,5851.00,4.302,1.1160,12.209,0,0,0,0
K00375.01,CONFIRMED,CANDIDATE,,988.8811177,0.1667,5.9504,5060,10.81,223.0,0.58,136.40,5755.00,4.101,1.5490,13.293,0,0,0,0
K00376.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,44.14599042,1.902,3.4015,4467.8,121.48,624.0,35.87,99.60,6692.00,4.383,1.1520,13.754,0,1,1,1
K00376.02,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.411627439,0.853,1.0814,515.2,2.99,1966.0,3523.63,53.10,6692.00,4.383,1.1520,13.754,0,1,1,0
K00377.01,CONFIRMED,CANDIDATE,0.0000,19.270825843,0.169,4.1281,6660.5,7.74,661.0,45.05,577.10,5779.00,4.491,0.9560,13.803,0,0,0,0
K03022.02,CONFIRMED,CANDIDATE,0.9720,5.05368985,0.53,2.514,171.5,1.21,1007.0,243.06,11.50,5772.00,4.528,0.9010,15.400,0,0,0,0
K03023.01,FALSE POSITIVE,FALSE POSITIVE,0.0010,4.39049637,0.389,3.0112,113.5,2.07,1637.0,1701.16,31.10,6429.00,3.989,1.9080,13.330,0,0,1,0
K03025.01,CONFIRMED,CANDIDATE,0.9580,13.1829329,0.016,3.594,518,1.84,661.0,45.19,13.80,5382.00,4.571,0.8270,16.239,0,0,0,0
K03026.01,CONFIRMED,CANDIDATE,0.9980,3.51575492,0.061,1.381,237.4,1.35,1033.0,269.57,15.20,5094.00,4.450,0.9010,14.897,0,0,0,0
K00282.03,CONFIRMED,CANDIDATE,0.8940,87.5177787,0.983,2.55,136.5,1.85,451.0,9.76,12.20,5903.00,4.304,1.1370,11.529,0,0,0,0
K03099.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,14.0498182,0.569,2.907,472,1.45,480.0,12.56,14.50,4228.00,4.618,0.6520,15.648,0,0,1,0
K03101.01,CONFIRMED,CANDIDATE,0.9980,14.2563272,0.894,4.796,206.1,1.73,797.0,95.22,14.30,6140.00,4.455,1.0270,15.192,0,0,0,0
K03105.01,CANDIDATE,CANDIDATE,0.9990,4.21223579,0.97,7.898,116.4,1.04,887.0,146.40,12.80,5116.00,4.591,0.7000,15.277,0,0,0,0
K03106.01,CONFIRMED,CANDIDATE,0.8770,0.968980781,0.065,1.517,118.5,1.08,1844.0,2730.51,12.80,5866.00,4.473,1.0000,15.415,0,0,0,0
K03107.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,8.589562,1.138,9.885,245.4,15.95,891.0,148.61,14.00,5766.00,4.404,0.9450,15.214,1,0,0,1
K00314.03,CONFIRMED,CANDIDATE,0.9990,10.31282204,0.061,2.0138,137.6,0.59,443.0,9.07,22.00,3846.00,4.738,0.5030,12.925,0,0,0,0
K00315.01,CONFIRMED,CANDIDATE,1.0000,35.58349688,0.001,3.9885,937.6,2.03,408.0,6.54,90.80,4894.00,4.637,0.6840,12.968,0,0,0,0
K00316.01,CONFIRMED,CANDIDATE,1.0000,15.77111067,0.009,5.0574,547.1,2.62,752.0,75.61,123.20,5620.00,4.333,1.1430,12.701,0,0,0,0
K00316.02,CONFIRMED,CANDIDATE,1.0000,157.0659976,0.004,8.1289,551.4,2.63,350.0,3.53,50.90,5620.00,4.333,1.1430,12.701,0,0,0,0
K00316.03,CONFIRMED,CANDIDATE,1.0000,7.305706326,0.826,1.4228,264.9,2.11,972.0,210.72,43.60,5620.00,4.333,1.1430,12.701,0,0,0,0
K00377.02,CONFIRMED,CANDIDATE,,38.90787517,0.6883,4.5271,6159.1,7.98,523.0,17.66,366.10,5779.00,4.491,0.9560,13.803,0,0,0,0
K00064.01,CANDIDATE,CANDIDATE,1.0000,1.951082219,0.925,1.6975,1151.8,10.35,2005.0,3822.26,30.10,5302.00,3.768,2.4260,13.143,0,0,0,0
K00377.03,CONFIRMED,CANDIDATE,,1.59295975,0.0779,1.9313,248.3,1.48,1517.0,1251.43,48.90,5779.00,4.491,0.9560,13.803,0,0,0,0
K00378.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,4.94402197,1.157,4.062,363.3,32.92,1419.0,958.29,33.00,6013.00,4.035,1.7000,13.150,0,1,1,1
K00379.01,FALSE POSITIVE,FALSE POSITIVE,0.0730,6.71725648,0.163,2.5207,272.7,2.78,1264.0,603.71,49.10,6078.00,4.094,1.6830,13.319,0,0,1,0
K00379.02,CANDIDATE,CANDIDATE,1.0000,23.1375919,0.429,3.35,114,1.83,837.0,115.86,12.90,6078.00,4.094,1.6830,13.319,0,0,0,0
K03027.01,CONFIRMED,CANDIDATE,0.9290,6.07032548,0.454,1.341,311.6,1.36,789.0,91.45,11.90,5076.00,4.598,0.7630,15.489,0,0,0,0
K03028.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.33256952,0.463,2.915,163.5,1.06,1461.0,1076.99,16.50,5547.00,4.571,0.8200,15.983,0,0,0,1
K03029.01,CANDIDATE,CANDIDATE,1.0000,18.9763286,0.922,2.379,329.8,2.24,638.0,39.11,11.00,5300.00,4.385,0.9860,14.948,0,0,0,0
K03029.02,CANDIDATE,CANDIDATE,0.9850,6.34724702,0.739,3.097,159.8,1.35,919.0,168.14,11.10,5300.00,4.385,0.9860,14.948,0,0,0,0
K03030.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.19552624,0.593,4.095,214.6,1.67,1037.0,273.05,15.60,6242.00,4.432,1.0930,15.614,0,0,1,0
K03108.01,CONFIRMED,CANDIDATE,1.0000,7.36272124,0.253,1.3287,429.3,1.86,901.0,155.72,17.80,5868.00,4.530,0.8940,14.941,0,0,0,0
K03109.01,CONFIRMED,CANDIDATE,0.9890,10.6761592,0.403,4.594,151,1.79,1049.0,285.79,14.10,6460.00,4.267,1.4340,13.688,0,0,0,0
K03110.01,CONFIRMED,CANDIDATE,0.9720,4.48494315,0.3,2.752,134.9,1.23,1199.0,488.22,12.40,6217.00,4.437,1.0510,14.879,0,0,0,0
K03111.01,CANDIDATE,CANDIDATE,1.0000,10.76800074,0.583,3.494,65.1,0.92,885.0,144.85,14.20,5874.00,4.338,1.0960,12.863,0,0,0,0
K03111.02,CANDIDATE,CANDIDATE,0.9860,4.32848303,0.367,2.955,35.5,0.66,1199.0,488.23,11.40,5874.00,4.338,1.0960,12.863,0,0,0,0
K00285.03,CONFIRMED,CANDIDATE,0.4760,49.3567907,0.277,10.954,130.2,1.91,637.0,38.86,35.00,5862.00,4.050,1.6700,11.565,0,0,0,0
K00317.01,CONFIRMED,CANDIDATE,0.9990,22.20809549,0.017,7.3327,463.2,3.02,803.0,98.36,92.70,6336.00,4.266,1.4030,12.885,0,0,0,0
K00318.01,CONFIRMED,CANDIDATE,0.9870,38.5833679,0.905,12.391,1388.2,8.56,761.0,79.08,46.10,6273.00,4.040,1.9270,12.211,0,0,0,0
K00319.01,CANDIDATE,CANDIDATE,0.9980,46.15119482,0.904,6.3427,1817.3,10.02,703.0,57.80,286.00,5877.00,3.927,1.9630,12.711,0,0,0,0
K00320.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,4.79179893,1.209,2.9283,123.9,26.26,1249.0,575.43,46.30,6499.00,4.408,1.1030,12.174,1,0,1,0
K00321.01,CONFIRMED,CANDIDATE,1.0000,2.426304127,0.694,2.6624,185.4,1.41,1302.0,679.12,97.00,5678.00,4.484,0.9700,12.520,0,0,0,0
K00005.01,CANDIDATE,CANDIDATE,1.0000,4.780327581,0.952,2.0253,960.8,7.14,1441.0,1020.05,380.80,5937.00,4.012,1.7870,11.665,0,0,0,0
K00389.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.741231778,0.25,2.469,419,1.55,951.0,193.55,66.60,5206.00,4.598,0.7670,13.936,0,1,1,0
K00390.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.168310132,0.107,1.31,283.3,1.43,1577.0,1469.16,64.70,5509.00,4.487,0.8570,13.831,0,1,1,0
K00391.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,25.9525478,1.228,21.328,478.4,74.69,865.0,132.40,57.00,5211.00,3.715,2.7210,13.778,0,1,1,1
K00392.01,CONFIRMED,CANDIDATE,1.0000,33.4160553,0.947,8.605,275.8,2.98,689.0,53.18,29.30,6007.00,4.178,1.4200,13.954,0,0,0,0
K00392.02,CONFIRMED,CANDIDATE,0.9930,12.6119685,0.709,6.372,76.5,1.33,953.0,194.90,12.20,6007.00,4.178,1.4200,13.954,0,0,0,0
K03031.01,CANDIDATE,CANDIDATE,0.9910,7.64809462,0.265,2.216,195.9,1.19,840.0,117.65,12.20,5641.00,4.554,0.8500,15.267,0,0,0,0
K03032.01,CONFIRMED,FALSE POSITIVE,0.9730,0.636424848,0.319,0.947,217.9,1.31,1846.0,2754.93,18.10,5343.00,4.538,0.8850,15.744,0,1,0,0
K03033.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,8.55935323,0.744,4.303,148.8,1.21,921.0,169.77,20.40,6115.00,4.462,0.9190,14.538,0,1,0,0
K03034.01,CANDIDATE,CANDIDATE,1.0000,31.0209175,0.881,2.012,859.5,1.66,291.0,1.70,15.10,3720.00,4.764,0.4800,15.572,0,0,0,0
K03035.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,21.3419702,,10.73,,,,105.86,,,,,13.870,0,1,0,0
K03112.01,CANDIDATE,CANDIDATE,0.7610,2.118893997,0.019,0.822,311.4,1.41,1230.0,541.53,11.30,5504.00,4.583,0.7960,15.855,0,0,0,0
K03113.01,CONFIRMED,CANDIDATE,1.0000,2.46050095,0.052,1.861,276.8,1.03,969.0,208.54,16.70,4811.00,4.626,0.6340,15.245,0,0,0,0
K03114.01,CANDIDATE,CANDIDATE,0.9880,7.49133777,0.013,6.315,34.5,1.01,1291.0,656.15,14.40,6177.00,3.993,1.7100,12.277,0,0,0,0
K03115.01,CONFIRMED,CANDIDATE,0.9980,5.8660127,0.539,3.985,183,1.45,1064.0,302.77,16.80,6020.00,4.427,1.0400,15.273,0,0,0,0
K03116.01,CONFIRMED,CANDIDATE,0.9800,23.9107056,0.398,4.996,294,1.91,709.0,59.76,12.90,6338.00,4.418,1.0910,15.376,0,0,0,0
K00048.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,23.836808884,1.008,6.02854,29684.7,59.31,919.0,168.28,2793.40,6095.00,3.894,1.9400,13.722,0,1,0,0
K00321.02,CONFIRMED,CANDIDATE,0.9960,4.62334491,0.388,3.0189,62,0.77,1050.0,287.25,25.20,5678.00,4.484,0.9700,12.520,0,0,0,0
K00322.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,5.888835386,6.217,3.7988,19466,584.67,1008.0,243.87,208.20,5780.00,4.438,1.0000,12.970,0,1,0,0
K00323.01,CONFIRMED,CANDIDATE,1.0000,5.83599485,0.129,2.062,553.3,1.92,884.0,144.50,11.20,5423.00,4.542,0.8280,12.465,0,0,0,0
K00324.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.089077863,0.778,2.4676,133.6,1.96,2359.0,7312.11,104.80,6280.00,4.098,1.5510,12.217,0,1,1,1
K00325.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.86335883,0.995,3.4303,467.3,7.84,1195.0,482.18,74.30,5731.00,4.005,1.9130,12.940,0,0,1,1
K00380.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,8.0970583,0.959,5.699,680.7,4.83,1203.0,495.31,76.40,6573.00,4.200,1.4550,13.110,0,1,1,1
K00381.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,6.337614357,0.972,1.742,1807.4,9.57,1351.0,787.89,132.70,6581.00,4.138,1.5360,13.406,0,1,0,0
K00382.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.900140077,1.205,3.77,543.1,23.78,1253.0,582.32,53.60,6407.00,4.480,0.9550,13.561,0,1,1,1
K00384.01,CONFIRMED,CANDIDATE,1.0000,5.0800579,0.636,5.207,222.8,3.95,1673.0,1851.94,56.70,6049.00,3.769,2.5200,13.281,0,0,0,0
K00385.01,CONFIRMED,CANDIDATE,1.0000,13.14496741,0.591,3.6399,300.8,1.59,698.0,56.15,44.10,5411.00,4.477,0.8880,13.435,0,0,0,0
K00283.01,CONFIRMED,CANDIDATE,0.9760,16.09196369,0.546,2.8943,415.8,2.13,718.0,62.74,84.90,5680.00,4.414,1.0160,11.525,0,0,0,0
K03036.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,161.239891,0.946,24.472,1075.4,3.48,294.0,1.77,23.00,5514.00,4.569,0.8260,15.648,1,0,1,1
K03037.01,CANDIDATE,CANDIDATE,0.9980,5.4654174,0.301,3.209,219.5,1.23,927.0,174.08,14.20,5612.00,4.566,0.8290,15.861,0,0,0,0
K03038.01,CONFIRMED,CANDIDATE,0.9930,1.4951513,0.974,3.43,52,1.44,1870.0,2880.38,14.20,5635.00,4.117,1.4520,14.220,0,0,0,0
K03039.01,CONFIRMED,CANDIDATE,0.9150,20.3504704,0.192,7.225,101.8,1.01,695.0,55.07,16.60,5952.00,4.410,1.0020,13.914,0,0,0,0
K03117.01,CANDIDATE,CANDIDATE,0.9760,6.06664931,0.902,1.962,65.3,0.87,915.0,165.66,10.90,5569.00,4.521,0.8920,13.163,0,0,0,0
K03119.01,CANDIDATE,CANDIDATE,0.0130,2.184437698,0.035,1.0422,1546.8,0.94,529.0,18.41,19.70,3421.00,5.014,0.2500,16.946,0,0,0,0
K03120.01,CONFIRMED,CANDIDATE,0.9980,4.13592927,0.168,2.377,156.2,1.43,1226.0,535.42,15.20,5886.00,4.345,1.1520,14.826,0,0,0,0
K03122.01,CONFIRMED,CANDIDATE,0.9990,8.05337912,0.035,5.382,38.3,1.28,1320.0,717.70,14.90,6231.00,3.976,2.0620,12.086,0,0,0,0
K03123.01,CANDIDATE,CANDIDATE,0.9980,15.2311195,0.192,3.91,269.1,1.94,800.0,96.84,13.10,5836.00,4.316,1.1860,15.029,0,0,0,0
K00286.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,23.6272223,0.711,7.9,154.6,3.84,1358.0,804.44,65.80,8308.00,3.861,2.8790,11.641,0,1,1,1
K00326.01,FALSE POSITIVE,FALSE POSITIVE,0.0050,8.97349999,0.56,3.1408,935.1,36,2262.0,6178.90,44.10,4751.00,2.520,11.5360,12.960,0,1,1,0
K00326.02,FALSE POSITIVE,FALSE POSITIVE,0.9050,108.546946,0.055,7.567,711.3,29.67,985.0,222.70,15.30,4751.00,2.520,11.5360,12.960,0,1,1,0
K00327.01,CONFIRMED,CANDIDATE,1.0000,3.254277742,0.303,2.9903,159.9,1.38,1301.0,675.56,58.60,5945.00,4.402,1.0890,12.996,0,0,0,0
K00327.02,CONFIRMED,CANDIDATE,1.0000,91.3514816,0.008,8.707,210,1.57,428.0,7.93,25.50,5945.00,4.402,1.0890,12.996,0,0,0,0
K00328.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.250826647,1.221,1.536,534.4,30.03,1489.0,1161.80,104.30,5779.00,4.308,1.1190,12.820,0,0,1,0
K00386.01,CONFIRMED,CANDIDATE,1.0000,31.1588249,0.029,5.1803,959,3.56,639.0,39.46,73.60,5951.00,4.319,1.1550,13.838,0,0,0,0
K00066.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.436282594,1.269,1.3988,536.4,83.25,5187.0,170399.16,218.30,8491.00,3.853,2.6220,11.002,1,0,0,0
K00386.02,CONFIRMED,CANDIDATE,0.9730,76.7324556,0.462,6.243,685.7,3.08,473.0,11.86,34.30,5951.00,4.319,1.1550,13.838,0,0,0,0
K00387.01,CONFIRMED,CANDIDATE,1.0000,13.89963233,0.777,3.5791,1121.7,2.46,521.0,17.37,98.20,4538.00,4.607,0.6630,13.577,0,0,0,0
K00388.01,CONFIRMED,CANDIDATE,1.0000,6.14955931,0.368,5.5694,333.7,3.26,1287.0,649.26,87.30,5687.00,3.973,1.7750,13.644,0,0,0,0
K03040.01,CANDIDATE,CANDIDATE,0.8820,4.8099878,0.2,1.97,288.2,1.59,1077.0,317.80,13.60,5988.00,4.507,0.9340,15.667,0,0,0,0
K03041.01,CANDIDATE,CANDIDATE,0.9800,5.08288076,0.389,2.515,108,1.15,1183.0,462.96,12.50,6217.00,4.375,1.0830,14.207,0,0,0,0
K03042.01,CANDIDATE,CANDIDATE,0.9980,31.0259489,0.153,5.692,385.4,1.91,595.0,29.67,12.70,6075.00,4.486,0.9690,15.959,0,0,0,0
K03043.01,CANDIDATE,CANDIDATE,1.0000,3.08942807,0.65,3.214,85.3,1.07,1361.0,808.76,13.20,6137.00,4.418,1.1030,14.829,0,0,0,0
K03045.01,CONFIRMED,CANDIDATE,0.9980,44.8702042,0.436,4.199,636.1,2.56,536.0,19.50,16.40,6122.00,4.471,0.9960,15.755,0,0,0,0
K03124.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,4.8807805,0.581,9.4,79,0.48,706.0,58.98,15.90,4763.00,4.738,0.5160,14.203,0,0,1,1
K03125.01,CONFIRMED,CANDIDATE,0.9570,4.45342418,0.569,3.654,46.6,0.9,1331.0,740.51,16.30,6256.00,4.269,1.2690,12.938,0,0,0,0
K03126.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.21396685,0.017,4.374,81.6,0.84,1418.0,952.61,19.10,5986.00,4.461,0.9300,14.461,0,1,1,1
K03127.01,CONFIRMED,CANDIDATE,1.0000,9.705693,0.941,7.702,140.8,2.07,1001.0,237.46,14.20,5808.00,4.178,1.3850,14.930,0,0,0,0
K03128.01,CANDIDATE,CANDIDATE,0.9510,21.2360024,0.205,4.019,104.4,2.62,1048.0,285.21,15.70,6035.00,3.745,2.5590,13.371,0,0,0,0
K00049.01,CONFIRMED,CANDIDATE,1.0000,8.31377304,0.002,2.964,837.4,2.74,886.0,145.51,19.60,5900.00,4.509,0.9510,13.704,0,0,0,0
K00329.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,8.58969597,1.197,8.471,245.1,20.8,882.0,143.02,45.90,6024.00,4.523,0.9000,13.478,0,1,1,1
K00330.01,CONFIRMED,CANDIDATE,1.0000,7.97420583,0.128,5.3503,293.1,1.85,974.0,212.75,55.10,5973.00,4.386,1.0810,13.928,0,0,0,0
K00330.02,CONFIRMED,CANDIDATE,0.9980,1.88899036,0.011,3.486,59,0.83,1574.0,1449.92,18.20,5973.00,4.386,1.0810,13.928,0,0,0,0
K00331.01,CONFIRMED,CANDIDATE,1.0000,18.68405716,0.858,6.9329,381.5,3.64,832.0,113.34,54.20,5548.00,4.038,1.6140,13.497,0,0,0,0
K00393.01,CONFIRMED,CANDIDATE,1.0000,21.41624083,0.081,7.081,314.5,2.09,748.0,74.20,42.70,6156.00,4.331,1.1800,13.542,0,0,0,0
K00394.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,12.28351275,1.224,3.634,597.8,74.76,1342.0,765.56,23.40,6171.00,3.668,2.7590,13.167,0,1,1,0
K00069.01,CONFIRMED,CANDIDATE,1.0000,4.72674037,0.657,2.9267,273.1,1.56,1028.0,264.08,287.80,5648.00,4.472,0.8940,9.931,0,0,0,0
K00395.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,6.77449545,1.178,2.5416,481.9,29.41,1219.0,521.03,41.90,6517.00,4.265,1.3420,13.889,0,0,1,0
K00396.01,CANDIDATE,CANDIDATE,1.0000,14.591504451,1.21,1.1295,1490.5,36.85,879.0,140.82,68.00,5940.00,4.199,1.3120,13.311,0,0,0,0
K00397.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,27.677680103,0.933,2.1704,11545,14.41,618.0,34.55,431.60,6075.00,4.486,0.9690,13.767,0,1,0,0
K03047.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.605223042,0.109,0.8986,232.3,1.14,1728.0,2099.47,20.70,5089.00,4.559,0.7570,15.248,0,1,1,0
K00283.02,CONFIRMED,CANDIDATE,0.9830,25.5172744,0.322,4.735,66.8,0.83,615.0,33.91,13.50,5680.00,4.414,1.0160,11.525,0,0,0,0
K03048.01,CONFIRMED,CANDIDATE,1.0000,4.73292061,0.121,1.746,151.6,0.97,957.0,198.57,15.50,5595.00,4.581,0.7960,14.651,0,0,0,0
K03049.01,CONFIRMED,CANDIDATE,0.7990,22.4765952,0.176,3.437,481.4,1.21,419.0,7.27,13.30,4563.00,4.704,0.5670,15.037,0,0,0,0
K03050.01,CANDIDATE,CANDIDATE,0.8920,1.242639742,0.152,1.763,159.3,1.02,1487.0,1159.26,16.10,5520.00,4.572,0.8180,15.330,0,0,0,0
K03129.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,25.503628,0.953,3.913,204.4,1.61,586.0,27.85,13.30,5815.00,4.540,0.8770,14.746,0,0,1,0
K03130.01,CONFIRMED,CANDIDATE,0.9880,14.8638496,1.006,2.705,220.6,2.9,620.0,35.04,12.30,5159.00,4.508,0.8000,13.752,0,0,0,0
K03130.02,CONFIRMED,CANDIDATE,0.9940,5.65245733,0.889,2.062,121,1.05,856.0,127.10,11.70,5159.00,4.508,0.8000,13.752,0,0,0,0
K03131.01,CONFIRMED,CANDIDATE,1.0000,10.9294815,0.197,5.893,196.9,1.21,770.0,83.14,14.30,5792.00,4.547,0.8640,15.591,0,0,0,0
K03132.01,CANDIDATE,CANDIDATE,0.0000,0.536650319,0.61,2.383,41.9,1.35,3195.0,24688.55,31.00,6020.00,3.922,2.0000,12.649,0,0,0,0
K00332.01,CONFIRMED,CANDIDATE,1.0000,5.45849914,0.65,4.0448,255.9,1.91,1099.0,344.32,72.00,5914.00,4.396,1.1350,13.046,0,0,0,0
K00333.01,CONFIRMED,CANDIDATE,1.0000,13.28536452,0.774,6.283,377.6,4.03,1157.0,423.65,26.80,6534.00,3.973,1.9000,13.390,0,0,0,0
K00334.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,8.4879444,0.752,3.224,119.3,1.23,969.0,208.99,19.50,6134.00,4.396,1.0390,13.301,0,1,1,1
K00335.01,FALSE POSITIVE,FALSE POSITIVE,0.3940,46.56675437,0.87,7.831,801.1,5.25,708.0,59.34,111.30,6629.00,4.132,1.6190,13.893,0,0,1,0
K00336.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.5148412,0.742,3.096,102.7,2.8,1200.0,489.75,13.10,7004.00,3.854,2.5560,13.124,0,1,1,1
K00279.02,CONFIRMED,CANDIDATE,0.9980,15.4130812,0.372,6.6358,264.3,2.59,944.0,187.39,55.20,6206.00,4.159,1.5730,11.684,0,0,0,0
K02970.01,CONFIRMED,CANDIDATE,0.9930,4.82051088,0.922,3.588,40.9,1.08,1328.0,735.25,14.80,6046.00,4.158,1.3960,12.861,0,0,0,0
K02971.01,CANDIDATE,CANDIDATE,1.0000,6.09595681,0.685,5.502,65.7,1.26,1259.0,593.42,18.10,6313.00,4.228,1.4670,12.742,0,0,0,0
K02972.01,CANDIDATE,CANDIDATE,0.9840,13.2511214,0.231,4.996,266.5,1.98,850.0,123.32,15.20,5850.00,4.297,1.2170,15.085,0,0,0,0
K02973.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,5.76556718,0.678,3.138,213.3,1.66,1120.0,371.86,17.60,6218.00,4.404,1.0720,15.390,0,1,1,0
K03051.01,CANDIDATE,CANDIDATE,,11.682369,0.6987,2.71,234.5,1.45,802.0,97.62,11.20,6089.00,4.527,0.8890,15.276,0,0,0,0
K03052.01,CANDIDATE,CANDIDATE,0.9770,10.12956201,0.544,3.044,81.3,0.78,736.0,69.43,12.20,5383.00,4.528,0.8420,13.573,0,0,0,0
K03052.02,CONFIRMED,CANDIDATE,0.8700,15.6112238,0.468,3.873,113.5,0.91,637.0,38.99,15.70,5383.00,4.528,0.8420,13.573,0,0,0,0
